"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Janam Janam Ke Phool ""Alia Satl Annapurna""","Hindi","","","Mukti Films, C/o. Forward Films 3-0, Naaz Bldg., Bombay 4.","20600","30-5-57","U","","","","","[I] Shots where Vishnu sings Shankracharya verse 'Punarapi jannnam' (18.9 m) || [III] Shots where Annapurna is snatched by Kishin from her husband Righu and is taken away to her uncle (32 m) || [IX] Shots where dancer's torsos are vulgarly displayed in close fitting drawers (8.84 m) || Dialogues of Krishn and the uncle insulting Righu, Annapurna’s husband, in her presence with reference to his matrimonial relations with her (3.05 m) || Shot where Annapurna’s uncle makes gestures signifying his assent to Righu’s murder (0.61 m) || Sequence beginning with the shot where Gudiya jumps out of Righu’s bag, got round the falling figure of Righu and enter the bag again with the dialogues exchanged between Gods during the sequence (42.06 m) || [XII] Shots of Draupadi, Seeta and Ahilya and their dialogues (18.9 m) || [XIII] Shots where Vishnu receives letter of Annapurna (13.41 m) || Vishnu’s dialogue derogatory to Sanyasins and where asks Raghu to give up Sanyas and to return to worldly life (7.32 m) || [XIV] Raja’s following dialogue: 'Ek palak ki matl ke baad mujho moufc mil jaye' (0.91 m) || [XIV] Strangulation of the soldier (2.13 m) || [XV] Vishnu’s dialogue asking Raghu to give up Sanyas and to revert to worldly life (sound) (0 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Man With The Gun","English","","","20th Century Fox Corp (India) Private Ltd., Metro House, Mahatma Gandhi Road, Bombay.","20608","31-5-57","U","","","","","[I] The sequence of the flagrant and cold-blooded close range shooting of the dog by one of Roman’s gunmen (1.31 m)","[F] The scene of saloon girls in briefs and frilled skirts open in the front when they are talking with Nolly Bain omitting close shots of the girls whose thighs are exposed (21.34 m) (retained: 17.98 m) || [VII] The performances on the illuminated stage at Palace tavern by the girls in briefs and frilled skirts open in the front when Glint Tollinger enters in the bar (12.8 m) (retained: 4.57 m)","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Far East Bastions","English","","Cinemascope, Colour","20th Century Fox Corp. (India) Private Ltd., Metro House, Mahatma Gandhi Road, Bombay.","20624","4-6-57","U","","","","","The following lines from dialogue: 'To the gunners it is a hunting light' and 'The citadel of Free Hind' (2.44 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Tanganyika Today","English","","","20th Century-Fox Corp. (India) Private Ltd., Metro House, Mahatma Gandhi Road, Bombay.","20625","4-6-57","U","","","","","[I] The dialogue, 'The responsibilities of self Government are a bit run tod and as yet Tanganyika is hardly ready to accept them' (3.66 m) || [I] The dialogue, 'Welfare must await acceptance and growing understanding progress and change must come slowly' (3.05 m) || [II] The dialogue, 'Wherever the African has lived he has loatad soil erosion' (1.52 m) || [II] The words, 'And it would appear that they can never start too young' (1.83 m) || [III] The dialogue, 'Almost certainly the grand parents of these young men are still primitive' (1.83 m) || [III] The dialogue, 'again the Ngoina boasts this tiia -1 fur one of Africa’s string sit d rn.ee i. TliL is the nionlrey dance, its origin and moaning readily understood' (3.96 m) || [III] The dialogue, 'It is a land which the European has mdliwed, developing bum l u jl s nf film land and creating a gracious way of livl ig' (3.35 m) || [III] The words, 'The trusts skip is in good hands' (0.91 m) || [III] The sequence of monkey dance and the dance licipienoH in v/liich ilt am, wlul ' daivuny, make iioIbc Uko that of animals (18.59 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Johnny Come","English","","","20th Century Fox Corp. (India) Private Ltd., Metro House, Mahatma Gandhi Road, Bombay","20626","4-6-57","U","","","","","[IX] The shots in which Tallman is writhing under repeated gun-fire from the citizens and also after the gun-fire stops (12.8 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Trailer of ""Johnny Come""","English","","","20th Century Fox Corp. (India) Private Ltd., Metro House, Mahatma Gandhi Road, Bombay","20628","4-6-57","U","","","","","The following words: 'With Hungary’s freedom fighters' (0.46 m) || The following words: 'Who fought Communist domination in Hungary when the domination was re-imposed they chose to leave' (1.52 m) || The following words: 'To escape persecution of giving up even sense of belonging in their land of origin because they valued human freedom more highly' (1.68 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Battle Hymn","English","","Cinemascope, Colour","Universal Pictures India Private Ltd., Mustafa Bldg., Sir P. M. Road, Bombay.","20639","6-6-57","U","","","","","[III] Man— But Red destroyed everything or took them away, (remainedoo koronorau kong san kun ee dali hualkn da kaohokaku Mai -Ut- Chive kukerfc * a natiuryi), Obam An-Doit Man Dj-Yo.) — Korean translation (2.13 m) || [VIII] Maples — 'Bandit coming on your tail, Colonel.' (1.22 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Trailer of ""Tattered Dress""","English","","Cinemascope","Universal Pictures India Private Ltd., Mustafa Bldg., Sir T. M. Road, Bombay","20634","5-6-57","U","","","","","The close shot where Mrs. Keaton is seen in tattered dress exposing parts of her bust and thigh prominently (0.61 m) || The shots in which Hook and Mrs. Morrow are seen together on the bed in the latter’s bedroom (5.79 m)","","","","in.gazette.1957.396","1957-07-27T00:00:00Z","https://archive.org/details/in.gazette.1957.396"
"Desert Fantasy","English","","Cinemascope","Movietone Inc., U.S.A.","20609","11-6-57","U","","","","","Dialogue: ""Under an oath to Allah they swear"" (1.12 m) || Dialogue: ""in which one pledges a religion, oath to win every trade and another believes a handful of good life is worth a wine-cask full of money"" (3.05 m) || Dialogue: ""They believe hurry is good only for chasing flies"" (2.13 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Jeevan Sathi","Hindi","Partly Coloured","","Dhanwant S. Shah","20691","13-6-57","U","","","","","[Reel IV] All references to Pt. Jawaharilal Nehru in image No. 2 (10.97 m) || [Reel IX] Dialogue between the mother and the child whereby it is brought home to the child by the mother that the father has built the wall in the hall as he was no longer well-inclined towards them (16.46 m) || [Reel IX] Dialogue between the child and the Ayah wherein the child expresses his grief on his father's antipathy and the ayah stresses factum of the wall in this respect (16.46 m) || [Reel IV] Harish's dialogue where he shows his anxiety to avoid Pohoo taking cognizance of the shooting (2.44 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Janam Janam Ke Phere","Hindi","","","Mukti Films","20692","14-6-57","U","","","","","Shot where a snake is thrown at a man (1.22 m) || Shots of the three deities (8.53 m) || Shot of a cobra emitting fire (2.44 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Boy On A Dolphin","English","","Cinemascope","Twentieth Century Fox Film Corporation, U.S.A.","20533","21-6-57","U","","","","","[Reel VI] Shots of thigh exposure when Phaedra is seen lying down on a couch (5.18 m)","[Reel I] Shots of Phaedra when in wet clothes which are very transparent (10.36 m) (retained: 3.96 m) || [Reel XIII] The kissing of Phaedra and James Didier at the end of the reel (1.22 m) (retained: 1.83 m)","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Boy On A Dolphin","English","","Cinemascope","Twentieth Century Fox Film Corporation, U.S.A.","20534","21-5-57","U","","","","","","Shot of Phaedra when in wet clothes which are very transparent (0.37 m) (retained: 3.66 m)","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Jeevan Sathi","Hindi","Partly Coloured","","Dhanwant S. Shah","20691","13-6-57","U","","","","","","","","[Reel IV] The word ""Bahadurlal"" five times in song No. 1","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Aladdin And The Wonderful Lamp","Hindi","","","Basant Pictures","20483","11-6-57","U","","","","","","[V] Dubbing's whipping of Sultan and Aladdin (10.06 m) || [V] Other faces of djinn in a row in close-ups (21.34 m) || [IX] Belly jerking and hipswaying of female dancer when dancing alone in the Durbar dance (Nearest to the camera) (8.84 m)","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Silver King","Hindi","","","Dhanpat Rai","20697","17-6-57","U","","","","","[I] Following lines from song No. 3 ""Pyase paani poo le"": ""Aisi hawa, aina nagina Tujhko mijega kanon?"", ""Aanujh men khhokar dhundhle dono jahan"", ""Mino ko kurta ja hile vasile"" (16.46 m) || [II] Shot where Tiger's mouth is stretched by Silver King (5.18 m) || [V] The following lines from Song No. 4: ""Anau na pun mere joovan ka Bath gori"", ""Aana nu pas more, rohano ab dur piya, uski sft7ii nai ye jo, tumne kuaur kiva. An hoba maujiu Itiya, maJne kuaur klya Tumno Lynn ghayal nioro dilko hujur Liya"" (5.18 m) || [IX] Shots where a man is dragged when tied to a horse (6.1 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Musafir","Hindi","","","","","","","","","","","[Reel VII] The portion of the shot at the end where Rajore asks the tea boy ""who plays the violin if?"" (5.49 m)","","","Story number two is taken to the place of story number three and story number three is taken to the place of story number two. The reels are affected as follows: Reel No. 11 changed to Reel No. GL, Reel No. 12 changed to Reel No. 7, Reel No. 13 changed to Reel No. 8, Reel No. 14 changed to Reel No. 9, Reel No. 15 changed to Reel No. 10, Reel No. 16 changed to Reel No. 11.","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Bandi","Hindi","","","Sree Pictures","20696","17-6-57","U","","","","","","","[Reel VII] Close shot of Mala inside the car putting a pillow under the head of Shankar. Mala’s father is also in the scene","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Bhola Shankar","Hindi","","","Famous Pictures","20400","17-6-57","U","","","","","Cut out all shots in the Bhang Scene, showing the crushing of Bhang and drinking (21.95 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Ramsbottom Rides Again","English","","","Lion International films Ltd., U.K.","20740","24-6-57","U","","","","","[I] The following dialogues of the male servant to Charlie: ""Let can be done in five minutes"" (0.91 m) || [I] ""I am boiling"" (0.91 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"International Police","English","","Cinemascope","Paramount Pictures Corporation, U.S.A.","20712","25-6-57","U","","","","","The close shot of the waiter's face with tortured expression (0.91 m) || The shots in which the legs and thighs of the female dancers are exposed prominently (1.83 m) || The shots in which street walkers are shown soliciting (0.91 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Jalti Nishani","Hindi","Partly Coloured","","Emsheth Productions","20747","20-6-57","U","","","","","[XVIII] Shot where a man approaches Naznin with red hot irons in his hand to singe her eyes (1.22 m) || [XVIII] Shots of Strangulation twice (12.19 m) || [XIV] All shots where Sitara is shown tied to the stake (3.05 m) || [XIV] All shots where wooden blocks and splinters around stake are being set on fire and leap up from them except the last shot for continuity where the Vodi orders the fire to be lit and logs are shown burning (22.55 m) || [XIV] All shots where the burning of Vazir is established (2.13 m)","","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"International Police","English","","Cinemascope","Columbia Pictures Corporation, U.S.A.","523","25-6-57","A","","","","","[I] Before the main title, the close shot of McNally strangling a girl (3.96 m) || [III] In the scene in which Salto tries to criminally assault (ima, shots in which they fall together on to the floor and she is struggling (4.27 m) || [VI] In the night club scene, all shots in which the legs and thighs of the female dancers are exposed prominently (6.1 m) || [VI do VII] The last shot in reel 6 and the first shot in reel 7, in which street walkers are shown soliciting (10.06 m) || [X] In the night club, the opening close shots of the dancing girl (in black dress) in which her bust is exposed prominently (2.44 m) || [XI] The first three shots showing the welding operations of the refrigerator and removal of contraband packages from it (22.55 m)","[II] Scene in which Strogis is man-handling the night club waitress in her apartment particularly deleting close shots of the waitress’s face with tortured expression (6.4 m) (retained: 6.4 m)","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
"Guns of Fort Petticoat","English","Colour","","Columbia Pictures Corporation, U.S.A.","525","28-6-57","A","","","","","[V] The shot in which Kettle’s body is seen being hung by the rope after he is shot by the Mexican (3.05 m)","[VII] To a flash the shot in which Mary is hit in the back by arrow and she is seen collapsing to the ground (1.83 m) (retained: 1.83 m)","","","in.gazette.1957.397","1957-08-03T00:00:00Z","https://archive.org/details/in.gazette.1957.397"
